"region","depot","item_no","tms","ams","month","year"
"SW","ADO EKITI","D108881",0.460258064516129,0.230129032258064,3,2022
"SW","ADO EKITI","D108881",0.719733333333333,0.359866666666667,4,2022
"SW","ADO EKITI","D108881",0.719225806451613,0.359612903225806,5,2022
"SW","ADO EKITI","D108881",0.868866666666667,0.434433333333333,6,2022
"SW","ADO EKITI","D108881",1.7381935483871,0.869096774193548,7,2022
"SW","ADO EKITI","D108881",2.40251612903226,1.20125806451613,8,2022
"SW","ADO EKITI","D108881",1.86946666666667,0.934733333333333,9,2022
"SW","ADO EKITI","D108881",1.88406451612903,0.942032258064516,10,2022
"SW","ADO EKITI","D108881",2.50266666666667,1.25133333333333,11,2022
"SW","ADO EKITI","D108881",2.39095238095238,1.19547619047619,12,2022
"SW","ADO EKITI","HIT20NG",7.8172,3.9086,1,2022
"SW","ADO EKITI","HIT20NG",1.22657142857143,0.613285714285714,2,2022
"SW","ADO EKITI","HIT20NG",1.90567741935484,0.952838709677419,3,2022
"SW","ADO EKITI","HIT20NG",12.4196,6.2098,4,2022
"SW","ADO EKITI","HIT20NG",16.2210322580645,8.11051612903226,5,2022
